date,time,ip,urlrequested,agent,referrer,search,nation,os,browser,searchengine,spider,feed
"20191119","15:03:51","77.173.83.254","unapproved=3&moderation-hash=b9f899717fc4343234a2fffcf9d87b66","Mozilla/5.0 (Linux; Android 7.0; HUAWEI VNS-L31) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.96 Mobile Safari/537.36","https://www.veilig-gehecht.nl/2019/11/03/behandeling-en-preventie-van-hechtingsproblematiek/","","nl","Android Nougat (7.0.x)","Chrome 78","","",""
"20191119","15:04:10","77.173.83.254","/2019/11/03/behandeling-en-preventie-van-hechtingsproblematiek/","Mozilla/5.0 (Linux; Android 7.0; HUAWEI VNS-L31) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.96 Mobile Safari/537.36","https://www.veilig-gehecht.nl/2019/11/03/behandeling-en-preventie-van-hechtingsproblematiek/?unapproved=3&#038;moderation-hash=b9f899717fc4343234a2fffcf9d87b66","","nl","Android Nougat (7.0.x)","Chrome 78","","",""
"20191119","15:04:24","77.173.83.254","/hechtingsproblemen/","Mozilla/5.0 (Linux; Android 7.0; HUAWEI VNS-L31) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.96 Mobile Safari/537.36","https://www.veilig-gehecht.nl/2019/11/03/behandeling-en-preventie-van-hechtingsproblematiek/","","nl","Android Nougat (7.0.x)","Chrome 78","","",""
"20191119","15:04:25","77.173.83.254","","Mozilla/5.0 (Linux; Android 7.0; HUAWEI VNS-L31) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.96 Mobile Safari/537.36","https://www.veilig-gehecht.nl/hechtingsproblemen/","","nl","Android Nougat (7.0.x)","Chrome 78","","",""
"20191119","15:04:32","77.173.83.254","/hechtingsproblemen/","Mozilla/5.0 (Linux; Android 7.0; HUAWEI VNS-L31) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.96 Mobile Safari/537.36","https://www.veilig-gehecht.nl/","","nl","Android Nougat (7.0.x)","Chrome 78","","",""
"20191119","15:04:40","77.173.83.254","/2019/11/03/onvoldoende-veilige-hechting-en-relaties/","Mozilla/5.0 (Linux; Android 7.0; HUAWEI VNS-L31) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.96 Mobile Safari/537.36","https://www.veilig-gehecht.nl/hechtingsproblemen/","","nl","Android Nougat (7.0.x)","Chrome 78","","",""
"20191119","15:04:41","136.143.6.252","/contact-opnemen-met-veilig-gehecht/","Mozilla/5.0 (Android 9; Mobile; rv:68.0) Gecko/68.0 Firefox/68.0","https://www.veilig-gehecht.nl/","","en","Android Linux","Firefox 68","","",""
"20191119","15:04:41","136.143.6.252","","Mozilla/5.0 (Android 9; Mobile; rv:68.0) Gecko/68.0 Firefox/68.0","","","en","Android Linux","Firefox 68","","",""
"20191119","15:04:49","136.143.6.252","/2019/11/03/onvoldoende-veilige-hechting-en-relaties/","Mozilla/5.0 (Android 9; Mobile; rv:68.0) Gecko/68.0 Firefox/68.0","https://www.veilig-gehecht.nl/","","en","Android Linux","Firefox 68","","",""
"20191119","15:04:56","77.173.83.254","/2019/11/03/behandeling-en-preventie-van-hechtingsproblematiek/","Mozilla/5.0 (Linux; Android 7.0; HUAWEI VNS-L31) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.96 Mobile Safari/537.36","https://www.veilig-gehecht.nl/2019/11/03/onvoldoende-veilige-hechting-en-relaties/","","nl","Android Nougat (7.0.x)","Chrome 78","","",""
"20191119","15:05:11","77.173.83.254","/contact-opnemen-met-veilig-gehecht/","Mozilla/5.0 (Linux; Android 7.0; HUAWEI VNS-L31) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.96 Mobile Safari/537.36","https://www.veilig-gehecht.nl/2019/11/03/behandeling-en-preventie-van-hechtingsproblematiek/","","nl","Android Nougat (7.0.x)","Chrome 78","","",""
"20191119","15:05:48","77.173.83.254","/hechtingsproblemen/","Mozilla/5.0 (Linux; Android 7.0; HUAWEI VNS-L31) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.96 Mobile Safari/537.36","https://www.veilig-gehecht.nl/","","nl","Android Nougat (7.0.x)","Chrome 78","","",""
"20191119","15:06:07","77.173.83.254","/2019/11/03/behandeling-en-preventie-van-hechtingsproblematiek/","Mozilla/5.0 (Linux; Android 7.0; HUAWEI VNS-L31) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.96 Mobile Safari/537.36","https://www.veilig-gehecht.nl/hechtingsproblemen/","","nl","Android Nougat (7.0.x)","Chrome 78","","",""
